"Data type","Cancer group/site","Year","Sex","Age group (years)","Count"
"Actual","Melanoma of the skin",2007,"Persons","70–74",1026
"Actual","Melanoma of the skin",2007,"Persons","75–79",1006
"Actual","Melanoma of the skin",2007,"Persons","80–84",868
"Actual","Melanoma of the skin",2007,"Persons","85–89",456
"Actual","Melanoma of the skin",2007,"Persons","90+",199
"Actual","Melanoma of the skin",2008,"Persons","00–04",0
"Actual","Melanoma of the skin",2008,"Persons","05–09",2
"Actual","Melanoma of the skin",2008,"Persons","10–14",5
"Actual","Melanoma of the skin",2008,"Persons","15–19",42
"Actual","Melanoma of the skin",2008,"Persons","20–24",139
"Actual","Melanoma of the skin",2008,"Persons","25–29",209
"Actual","Melanoma of the skin",2008,"Persons","30–34",328
"Actual","Melanoma of the skin",2008,"Persons","35–39",533
"Actual","Melanoma of the skin",2008,"Persons","40–44",629
"Actual","Melanoma of the skin",2008,"Persons","45–49",814
"Actual","Melanoma of the skin",2008,"Persons","50–54",1026
"Actual","Melanoma of the skin",2008,"Persons","55–59",1167
"Actual","Melanoma of the skin",2008,"Persons","60–64",1289
"Actual","Melanoma of the skin",2008,"Persons","65–69",1182
"Actual","Melanoma of the skin",2008,"Persons","70–74",1034
"Actual","Melanoma of the skin",2008,"Persons","75–79",1034
"Actual","Melanoma of the skin",2008,"Persons","80–84",974
"Actual","Melanoma of the skin",2008,"Persons","85–89",509
"Actual","Melanoma of the skin",2008,"Persons","90+",220
"Actual","Melanoma of the skin",2009,"Persons","00–04",1
"Actual","Melanoma of the skin",2009,"Persons","05–09",1
"Actual","Melanoma of the skin",2009,"Persons","10–14",12
"Actual","Melanoma of the skin",2009,"Persons","15–19",55
"Actual","Melanoma of the skin",2009,"Persons","20–24",124
"Actual","Melanoma of the skin",2009,"Persons","25–29",225
"Actual","Melanoma of the skin",2009,"Persons","30–34",324
"Actual","Melanoma of the skin",2009,"Persons","35–39",513
"Actual","Melanoma of the skin",2009,"Persons","40–44",614
"Actual","Melanoma of the skin",2009,"Persons","45–49",800
"Actual","Melanoma of the skin",2009,"Persons","50–54",972
"Actual","Melanoma of the skin",2009,"Persons","55–59",1166
"Actual","Melanoma of the skin",2009,"Persons","60–64",1323
"Actual","Melanoma of the skin",2009,"Persons","65–69",1167
"Actual","Melanoma of the skin",2009,"Persons","70–74",1200
"Actual","Melanoma of the skin",2009,"Persons","75–79",1113
"Actual","Melanoma of the skin",2009,"Persons","80–84",913
"Actual","Melanoma of the skin",2009,"Persons","85–89",563
"Actual","Melanoma of the skin",2009,"Persons","90+",226
"Actual","Melanoma of the skin",2010,"Persons","00–04",2
"Actual","Melanoma of the skin",2010,"Persons","05–09",2
"Actual","Melanoma of the skin",2010,"Persons","10–14",5
"Actual","Melanoma of the skin",2010,"Persons","15–19",31
"Actual","Melanoma of the skin",2010,"Persons","20–24",89
"Actual","Melanoma of the skin",2010,"Persons","25–29",247
"Actual","Melanoma of the skin",2010,"Persons","30–34",324
"Actual","Melanoma of the skin",2010,"Persons","35–39",451
"Actual","Melanoma of the skin",2010,"Persons","40–44",614
"Actual","Melanoma of the skin",2010,"Persons","45–49",758
"Actual","Melanoma of the skin",2010,"Persons","50–54",991
"Actual","Melanoma of the skin",2010,"Persons","55–59",1149
"Actual","Melanoma of the skin",2010,"Persons","60–64",1393
"Actual","Melanoma of the skin",2010,"Persons","65–69",1322
"Actual","Melanoma of the skin",2010,"Persons","70–74",1191
"Actual","Melanoma of the skin",2010,"Persons","75–79",1103
"Actual","Melanoma of the skin",2010,"Persons","80–84",982
"Actual","Melanoma of the skin",2010,"Persons","85–89",603
"Actual","Melanoma of the skin",2010,"Persons","90+",256
"Actual","Melanoma of the skin",2011,"Persons","00–04",1
"Actual","Melanoma of the skin",2011,"Persons","05–09",3
"Actual","Melanoma of the skin",2011,"Persons","10–14",7
"Actual","Melanoma of the skin",2011,"Persons","15–19",38
"Actual","Melanoma of the skin",2011,"Persons","20–24",103
"Actual","Melanoma of the skin",2011,"Persons","25–29",213
"Actual","Melanoma of the skin",2011,"Persons","30–34",281
"Actual","Melanoma of the skin",2011,"Persons","35–39",467
"Actual","Melanoma of the skin",2011,"Persons","40–44",626
"Actual","Melanoma of the skin",2011,"Persons","45–49",782
"Actual","Melanoma of the skin",2011,"Persons","50–54",940
"Actual","Melanoma of the skin",2011,"Persons","55–59",1152
"Actual","Melanoma of the skin",2011,"Persons","60–64",1503
"Actual","Melanoma of the skin",2011,"Persons","65–69",1403
"Actual","Melanoma of the skin",2011,"Persons","70–74",1292
"Actual","Melanoma of the skin",2011,"Persons","75–79",992
"Actual","Melanoma of the skin",2011,"Persons","80–84",970
"Actual","Melanoma of the skin",2011,"Persons","85–89",599
"Actual","Melanoma of the skin",2011,"Persons","90+",273
"Actual","Melanoma of the skin",2012,"Persons","00–04",1
"Actual","Melanoma of the skin",2012,"Persons","05–09",0
"Actual","Melanoma of the skin",2012,"Persons","10–14",3
"Actual","Melanoma of the skin",2012,"Persons","15–19",34
"Actual","Melanoma of the skin",2012,"Persons","20–24",114
"Actual","Melanoma of the skin",2012,"Persons","25–29",231
"Actual","Melanoma of the skin",2012,"Persons","30–34",334
"Actual","Melanoma of the skin",2012,"Persons","35–39",450
"Actual","Melanoma of the skin",2012,"Persons","40–44",658
"Actual","Melanoma of the skin",2012,"Persons","45–49",774
"Actual","Melanoma of the skin",2012,"Persons","50–54",1062
"Actual","Melanoma of the skin",2012,"Persons","55–59",1193
"Actual","Melanoma of the skin",2012,"Persons","60–64",1437
"Actual","Melanoma of the skin",2012,"Persons","65–69",1535
"Actual","Melanoma of the skin",2012,"Persons","70–74",1331
"Actual","Melanoma of the skin",2012,"Persons","75–79",1131
"Actual","Melanoma of the skin",2012,"Persons","80–84",933
"Actual","Melanoma of the skin",2012,"Persons","85–89",689
"Actual","Melanoma of the skin",2012,"Persons","90+",329
"Actual","Melanoma of the skin",2013,"Persons","00–04",2
"Actual","Melanoma of the skin",2013,"Persons","05–09",2
"Actual","Melanoma of the skin",2013,"Persons","10–14",6
"Actual","Melanoma of the skin",2013,"Persons","15–19",34
"Actual","Melanoma of the skin",2013,"Persons","20–24",105
"Actual","Melanoma of the skin",2013,"Persons","25–29",229
"Actual","Melanoma of the skin",2013,"Persons","30–34",324
"Actual","Melanoma of the skin",2013,"Persons","35–39",461
"Actual","Melanoma of the skin",2013,"Persons","40–44",665
"Actual","Melanoma of the skin",2013,"Persons","45–49",802
"Actual","Melanoma of the skin",2013,"Persons","50–54",1079
"Actual","Melanoma of the skin",2013,"Persons","55–59",1205
"Actual","Melanoma of the skin",2013,"Persons","60–64",1475
"Actual","Melanoma of the skin",2013,"Persons","65–69",1676
"Actual","Melanoma of the skin",2013,"Persons","70–74",1421
"Actual","Melanoma of the skin",2013,"Persons","75–79",1256
"Actual","Melanoma of the skin",2013,"Persons","80–84",1071
"Actual","Melanoma of the skin",2013,"Persons","85–89",702
"Actual","Melanoma of the skin",2013,"Persons","90+",358
"Actual","Melanoma of the skin",2014,"Persons","00–04",1
"Actual","Melanoma of the skin",2014,"Persons","05–09",0
"Actual","Melanoma of the skin",2014,"Persons","10–14",2
"Actual","Melanoma of the skin",2014,"Persons","15–19",35
"Actual","Melanoma of the skin",2014,"Persons","20–24",106
"Actual","Melanoma of the skin",2014,"Persons","25–29",203
"Actual","Melanoma of the skin",2014,"Persons","30–34",321
"Actual","Melanoma of the skin",2014,"Persons","35–39",425
"Actual","Melanoma of the skin",2014,"Persons","40–44",703
"Actual","Melanoma of the skin",2014,"Persons","45–49",828
"Actual","Melanoma of the skin",2014,"Persons","50–54",1138
"Actual","Melanoma of the skin",2014,"Persons","55–59",1192
"Actual","Melanoma of the skin",2014,"Persons","60–64",1460
"Actual","Melanoma of the skin",2014,"Persons","65–69",1789
"Actual","Melanoma of the skin",2014,"Persons","70–74",1450
"Actual","Melanoma of the skin",2014,"Persons","75–79",1323
"Actual","Melanoma of the skin",2014,"Persons","80–84",1108
"Actual","Melanoma of the skin",2014,"Persons","85–89",734
"Actual","Melanoma of the skin",2014,"Persons","90+",386
"Actual","Melanoma of the skin",2015,"Persons","00–04",0
"Actual","Melanoma of the skin",2015,"Persons","05–09",1
"Actual","Melanoma of the skin",2015,"Persons","10–14",2
"Actual","Melanoma of the skin",2015,"Persons","15–19",23
"Actual","Melanoma of the skin",2015,"Persons","20–24",99
"Actual","Melanoma of the skin",2015,"Persons","25–29",227
"Actual","Melanoma of the skin",2015,"Persons","30–34",331
"Actual","Melanoma of the skin",2015,"Persons","35–39",420
"Actual","Melanoma of the skin",2015,"Persons","40–44",683
"Actual","Melanoma of the skin",2015,"Persons","45–49",864
"Actual","Melanoma of the skin",2015,"Persons","50–54",1116
"Actual","Melanoma of the skin",2015,"Persons","55–59",1273
"Actual","Melanoma of the skin",2015,"Persons","60–64",1571
"Actual","Melanoma of the skin",2015,"Persons","65–69",1846
"Actual","Melanoma of the skin",2015,"Persons","70–74",1665
"Actual","Melanoma of the skin",2015,"Persons","75–79",1439
"Actual","Melanoma of the skin",2015,"Persons","80–84",1025
"Actual","Melanoma of the skin",2015,"Persons","85–89",768
"Actual","Melanoma of the skin",2015,"Persons","90+",372
"Actual","Melanoma of the skin",2016,"Persons","00–04",3
"Actual","Melanoma of the skin",2016,"Persons","05–09",0
"Actual","Melanoma of the skin",2016,"Persons","10–14",5
"Actual","Melanoma of the skin",2016,"Persons","15–19",35
"Actual","Melanoma of the skin",2016,"Persons","20–24",97
"Actual","Melanoma of the skin",2016,"Persons","25–29",240
"Actual","Melanoma of the skin",2016,"Persons","30–34",372
"Actual","Melanoma of the skin",2016,"Persons","35–39",496
"Actual","Melanoma of the skin",2016,"Persons","40–44",691
"Actual","Melanoma of the skin",2016,"Persons","45–49",929
"Actual","Melanoma of the skin",2016,"Persons","50–54",1097
"Actual","Melanoma of the skin",2016,"Persons","55–59",1401
"Actual","Melanoma of the skin",2016,"Persons","60–64",1635
"Actual","Melanoma of the skin",2016,"Persons","65–69",1996
"Actual","Melanoma of the skin",2016,"Persons","70–74",1766
"Actual","Melanoma of the skin",2016,"Persons","75–79",1448
"Actual","Melanoma of the skin",2016,"Persons","80–84",1101
"Actual","Melanoma of the skin",2016,"Persons","85–89",830
"Actual","Melanoma of the skin",2016,"Persons","90+",395
"Actual","Melanoma of the skin",2017,"Persons","00–04",2
"Actual","Melanoma of the skin",2017,"Persons","05–09",0
"Actual","Melanoma of the skin",2017,"Persons","10–14",4
"Actual","Melanoma of the skin",2017,"Persons","15–19",32
"Actual","Melanoma of the skin",2017,"Persons","20–24",88
"Actual","Melanoma of the skin",2017,"Persons","25–29",208
"Actual","Melanoma of the skin",2017,"Persons","30–34",381
"Actual","Melanoma of the skin",2017,"Persons","35–39",463
"Actual","Melanoma of the skin",2017,"Persons","40–44",667
"Actual","Melanoma of the skin",2017,"Persons","45–49",937
"Actual","Melanoma of the skin",2017,"Persons","50–54",1131
"Actual","Melanoma of the skin",2017,"Persons","55–59",1520
"Actual","Melanoma of the skin",2017,"Persons","60–64",1616
"Actual","Melanoma of the skin",2017,"Persons","65–69",1951
"Actual","Melanoma of the skin",2017,"Persons","70–74",2031
"Actual","Melanoma of the skin",2017,"Persons","75–79",1532
"Actual","Melanoma of the skin",2017,"Persons","80–84",1167
"Actual","Melanoma of the skin",2017,"Persons","85–89",808
"Actual","Melanoma of the skin",2017,"Persons","90+",424
"Actual","Melanoma of the skin",2018,"Persons","00–04",0
"Actual","Melanoma of the skin",2018,"Persons","05–09",1
"Actual","Melanoma of the skin",2018,"Persons","10–14",6
"Actual","Melanoma of the skin",2018,"Persons","15–19",33
"Actual","Melanoma of the skin",2018,"Persons","20–24",114
"Actual","Melanoma of the skin",2018,"Persons","25–29",209
"Actual","Melanoma of the skin",2018,"Persons","30–34",357
"Actual","Melanoma of the skin",2018,"Persons","35–39",491
"Actual","Melanoma of the skin",2018,"Persons","40–44",661
"Actual","Melanoma of the skin",2018,"Persons","45–49",967
"Actual","Melanoma of the skin",2018,"Persons","50–54",1135
"Actual","Melanoma of the skin",2018,"Persons","55–59",1460
"Actual","Melanoma of the skin",2018,"Persons","60–64",1714
"Actual","Melanoma of the skin",2018,"Persons","65–69",1905
"Actual","Melanoma of the skin",2018,"Persons","70–74",1997
"Actual","Melanoma of the skin",2018,"Persons","75–79",1622
"Actual","Melanoma of the skin",2018,"Persons","80–84",1185
"Actual","Melanoma of the skin",2018,"Persons","85–89",825
"Actual","Melanoma of the skin",2018,"Persons","90+",453
"Actual","Melanoma of the skin",2019,"Persons","00–04",1
"Actual","Melanoma of the skin",2019,"Persons","05–09",2
"Actual","Melanoma of the skin",2019,"Persons","10–14",5
"Actual","Melanoma of the skin",2019,"Persons","15–19",36
"Actual","Melanoma of the skin",2019,"Persons","20–24",120
"Actual","Melanoma of the skin",2019,"Persons","25–29",202
"Actual","Melanoma of the skin",2019,"Persons","30–34",379
"Actual","Melanoma of the skin",2019,"Persons","35–39",491
"Actual","Melanoma of the skin",2019,"Persons","40–44",638
"Actual","Melanoma of the skin",2019,"Persons","45–49",940
"Actual","Melanoma of the skin",2019,"Persons","50–54",1137
"Actual","Melanoma of the skin",2019,"Persons","55–59",1445
"Actual","Melanoma of the skin",2019,"Persons","60–64",1750
"Actual","Melanoma of the skin",2019,"Persons","65–69",1983
"Actual","Melanoma of the skin",2019,"Persons","70–74",2183
"Actual","Melanoma of the skin",2019,"Persons","75–79",1754
"Actual","Melanoma of the skin",2019,"Persons","80–84",1281
"Actual","Melanoma of the skin",2019,"Persons","85–89",822
"Actual","Melanoma of the skin",2019,"Persons","90+",459
"Projections","Melanoma of the skin",2020,"Persons","00–04",0
"Projections","Melanoma of the skin",2020,"Persons","05–09",0
"Projections","Melanoma of the skin",2020,"Persons","10–14",5
"Projections","Melanoma of the skin",2020,"Persons","15–19",33
"Projections","Melanoma of the skin",2020,"Persons","20–24",106
"Projections","Melanoma of the skin",2020,"Persons","25–29",198
"Projections","Melanoma of the skin",2020,"Persons","30–34",374
"Projections","Melanoma of the skin",2020,"Persons","35–39",515
"Projections","Melanoma of the skin",2020,"Persons","40–44",676
"Projections","Melanoma of the skin",2020,"Persons","45–49",1001
"Projections","Melanoma of the skin",2020,"Persons","50–54",1188
"Projections","Melanoma of the skin",2020,"Persons","55–59",1525
"Projections","Melanoma of the skin",2020,"Persons","60–64",1817
"Projections","Melanoma of the skin",2020,"Persons","65–69",2107
"Projections","Melanoma of the skin",2020,"Persons","70–74",2356
"Projections","Melanoma of the skin",2020,"Persons","75–79",1892
"Projections","Melanoma of the skin",2020,"Persons","80–84",1353
"Projections","Melanoma of the skin",2020,"Persons","85–89",875
"Projections","Melanoma of the skin",2020,"Persons","90+",487
"Projections","Melanoma of the skin",2021,"Persons","00–04",0
"Projections","Melanoma of the skin",2021,"Persons","05–09",0
"Projections","Melanoma of the skin",2021,"Persons","10–14",5
"Projections","Melanoma of the skin",2021,"Persons","15–19",32
"Projections","Melanoma of the skin",2021,"Persons","20–24",101
"Projections","Melanoma of the skin",2021,"Persons","25–29",183
"Projections","Melanoma of the skin",2021,"Persons","30–34",373
"Projections","Melanoma of the skin",2021,"Persons","35–39",520
"Projections","Melanoma of the skin",2021,"Persons","40–44",694
"Projections","Melanoma of the skin",2021,"Persons","45–49",996
"Projections","Melanoma of the skin",2021,"Persons","50–54",1236
"Projections","Melanoma of the skin",2021,"Persons","55–59",1531
"Projections","Melanoma of the skin",2021,"Persons","60–64",1866
"Projections","Melanoma of the skin",2021,"Persons","65–69",2159
"Projections","Melanoma of the skin",2021,"Persons","70–74",2479
"Projections","Melanoma of the skin",2021,"Persons","75–79",2032
"Projections","Melanoma of the skin",2021,"Persons","80–84",1425
"Projections","Melanoma of the skin",2021,"Persons","85–89",913
"Projections","Melanoma of the skin",2021,"Persons","90+",508
"Projections","Melanoma of the skin",2022,"Persons","00–04",0
"Projections","Melanoma of the skin",2022,"Persons","05–09",1
"Projections","Melanoma of the skin",2022,"Persons","10–14",6
"Projections","Melanoma of the skin",2022,"Persons","15–19",33
"Projections","Melanoma of the skin",2022,"Persons","20–24",103
"Projections","Melanoma of the skin",2022,"Persons","25–29",177
"Projections","Melanoma of the skin",2022,"Persons","30–34",377
"Projections","Melanoma of the skin",2022,"Persons","35–39",525
"Projections","Melanoma of the skin",2022,"Persons","40–44",716
"Projections","Melanoma of the skin",2022,"Persons","45–49",999
"Projections","Melanoma of the skin",2022,"Persons","50–54",1283
"Projections","Melanoma of the skin",2022,"Persons","55–59",1530
"Projections","Melanoma of the skin",2022,"Persons","60–64",1916
"Projections","Melanoma of the skin",2022,"Persons","65–69",2222
"Projections","Melanoma of the skin",2022,"Persons","70–74",2519
"Projections","Melanoma of the skin",2022,"Persons","75–79",2248
"Projections","Melanoma of the skin",2022,"Persons","80–84",1499
"Projections","Melanoma of the skin",2022,"Persons","85–89",959
"Projections","Melanoma of the skin",2022,"Persons","90+",527
"Projections","Melanoma of the skin",2023,"Persons","00–04",1
"Projections","Melanoma of the skin",2023,"Persons","05–09",1
"Projections","Melanoma of the skin",2023,"Persons","10–14",6
"Projections","Melanoma of the skin",2023,"Persons","15–19",36
"Projections","Melanoma of the skin",2023,"Persons","20–24",103
"Projections","Melanoma of the skin",2023,"Persons","25–29",169
"Projections","Melanoma of the skin",2023,"Persons","30–34",379
"Projections","Melanoma of the skin",2023,"Persons","35–39",528
"Projections","Melanoma of the skin",2023,"Persons","40–44",748
"Projections","Melanoma of the skin",2023,"Persons","45–49",1005
"Projections","Melanoma of the skin",2023,"Persons","50–54",1318
"Projections","Melanoma of the skin",2023,"Persons","55–59",1541
"Projections","Melanoma of the skin",2023,"Persons","60–64",1970
"Projections","Melanoma of the skin",2023,"Persons","65–69",2297
"Projections","Melanoma of the skin",2023,"Persons","70–74",2602
"Projections","Melanoma of the skin",2023,"Persons","75–79",2444
"Projections","Melanoma of the skin",2023,"Persons","80–84",1568
"Projections","Melanoma of the skin",2023,"Persons","85–89",1009
"Projections","Melanoma of the skin",2023,"Persons","90+",532
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","00–04",1
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","10–14",0
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","15–19",2
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","20–24",0
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","25–29",1
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","30–34",1
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","35–39",2
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","40–44",6
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","45–49",14
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","50–54",20
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","55–59",15
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","60–64",21
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","65–69",35
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","70–74",45
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","75–79",68
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","80–84",42
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","85–89",38
"Actual","Non-melanoma skin cancer (rare types)",2001,"Males","90+",11
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","00–04",0
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","10–14",0
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","15–19",0
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","20–24",1
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","25–29",4
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","30–34",1
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","35–39",4
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","40–44",7
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","45–49",9
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","50–54",15
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","55–59",23
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","60–64",22
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","65–69",27
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","70–74",56
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","75–79",61
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","80–84",65
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","85–89",34
"Actual","Non-melanoma skin cancer (rare types)",2002,"Males","90+",13
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","00–04",0
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","10–14",1
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","15–19",2
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","20–24",0
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","25–29",1
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","30–34",1
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","35–39",6
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","40–44",7
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","45–49",12
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","50–54",20
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","55–59",23
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","60–64",29
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","65–69",33
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","70–74",44
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","75–79",50
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","80–84",54
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","85–89",23
"Actual","Non-melanoma skin cancer (rare types)",2003,"Males","90+",11
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","00–04",0
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","10–14",0
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","15–19",0
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","20–24",2
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","25–29",1
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","30–34",3
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","35–39",8
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","40–44",8
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","45–49",9
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","50–54",12
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","55–59",31
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","60–64",28
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","65–69",37
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","70–74",49
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","75–79",56
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","80–84",60
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","85–89",44
"Actual","Non-melanoma skin cancer (rare types)",2004,"Males","90+",19
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","00–04",0
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","10–14",0
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","15–19",0
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","20–24",0
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","25–29",1
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","30–34",1
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","35–39",3
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","40–44",4
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","45–49",12
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","50–54",13
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","55–59",21
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","60–64",24
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","65–69",30
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","70–74",36
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","75–79",89
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","80–84",62
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","85–89",43
"Actual","Non-melanoma skin cancer (rare types)",2005,"Males","90+",16
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","00–04",0
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","10–14",2
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","15–19",2
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","20–24",1
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","25–29",1
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","30–34",2
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","35–39",3
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","40–44",4
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","45–49",9
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","50–54",14
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","55–59",17
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","60–64",32
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","65–69",41
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","70–74",53
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","75–79",56
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","80–84",77
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","85–89",49
"Actual","Non-melanoma skin cancer (rare types)",2006,"Males","90+",16
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","00–04",0
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","10–14",0
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","15–19",0
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","20–24",1
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","25–29",2
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","30–34",1
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","35–39",3
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","40–44",7
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","45–49",17
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","50–54",21
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","55–59",35
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","60–64",38
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","65–69",30
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","70–74",50
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","75–79",64
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","80–84",73
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","85–89",53
"Actual","Non-melanoma skin cancer (rare types)",2007,"Males","90+",20
"Actual","Non-melanoma skin cancer (rare types)",2008,"Males","00–04",1
"Actual","Non-melanoma skin cancer (rare types)",2008,"Males","05–09",0
"Actual","Non-melanoma skin cancer (rare types)",2008,"Males","10–14",0
